№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
908,Автобус,Остановка,"ПР. МЕТАЛЛИСТОВ, УГОЛ ШОССЕ РЕВОЛЮЦИИ","ПР. МЕТАЛЛИСТОВ, УГОЛ ШОССЕ РЕВОЛЮЦИИ","Металлистов пр., Революции ш","132, 222, 28","59.959976129890514,30.4226131"
909,Автобус,Остановка,ШОССЕ РЕВОЛЮЦИИ,ШОССЕ РЕВОЛЮЦИИ,"улица Коммуны, шоссе Революции","102, 164, 37, 92","59.967446296700167,30.4830017"
910,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ,116","ШОССЕ РЕВОЛЮЦИИ,116 [153, 102, 103]","Революции ш., ш. Революции","102, 37","59.965401997413011,30.4749317"
911,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ,88","ШОССЕ РЕВОЛЮЦИИ,88 [153, 102, 103]","Революции ш., Потапова ул","102, 37","59.962680627364691,30.4640236"
912,Автобус,Остановка,"ШОССЕ РЕВОЛЮЦИИ,УГ. ИНДУСТРИАЛЬНОГО ПР","ШОССЕ РЕВОЛЮЦИИ,УГ. ИНДУСТРИАЛЬНОГО ПР. [174]","Индустриальный пр., Революции ш","153, 174, 234, 264, 288","59.961668603590198,30.4604759"
913,Автобус,Остановка,ШПАЛЕРНАЯ УЛ. УГ. ПОТЁМКИНСКОЙ УЛ,ШПАЛЕРНАЯ УЛ. УГ. ПОТЁМКИНСКОЙ УЛ. [136],"Шпалерная ул., Потемкинская ул","136, 19, 46","59.948728386552247,30.369173"
914,Автобус,Остановка,"ШУВАЛОВКА, УЛ. МАКАРОВА","ШУВАЛОВКА, УЛ. МАКАРОВА","Санкт-Петербургское шоссе, улица Макарова","103, 200, 201, 210, 329, 359","59.868214075845991,29.9763107"
915,Автобус,Остановка,"ШУВАЛОВСКИЙ ПАРК, ПО ТРЕБОВАНИЮ","ШУВАЛОВСКИЙ ПАРК, ПО ТРЕБОВАНИЮ","Выборгское шоссе, Парковая улица","104, 109, 109Б, 110, 173, 259, 397, 433, 435, 436, 567, 75, Я=555","60.068045299063456,30.2960587"
916,Автобус,Остановка,"ВЫБОРГСКОЕ ШОССЕ, 17","ВЫБОРГСКОЕ ШОССЕ, 17","Выборгское ш., Петровская ул","104, 109, 109Б, 110, 167, 173, 259, 397, 433, 435, 436, 567, 75, Я=555","60.054099947659296,30.309433"
917,Автобус,Остановка,"ШУНДОРОВО, ПО ТРЕБОВАНИЮ","ШУНДОРОВО, ПО ТРЕБОВАНИЮ",Таллинское шоссе,"482, 482В, 487","59.637420923202178,29.6028843"
918,Автобус,Остановка,ЭРЛЕРОВСКИЙ БУЛЬВАР,ЭРЛЕРОВСКИЙ БУЛЬВАР,Аврова ул,"162, 201, 278, 350, 351А, 351Б, 356, 463, 463А, 489","59.870507791194036,29.9193058"
919,Автобус,Остановка,"ЭРЛЕРОВСКИЙ БУЛЬВАР, УГОЛ УЛ. АВРОВА","ЭРЛЕРОВСКИЙ БУЛЬВАР, УГОЛ УЛ. АВРОВА","Эрлеровский бульвар, улица Аврова","354, 355","59.870833492802461,29.9174519"
920,Автобус,Остановка,ЯКОРНАЯ УЛ,ЯКОРНАЯ УЛ. [123],"Энергетиков пр., Якорная ул","123, 131, 137, 185, 222, 271","59.942875588142606,30.4351482"
921,Автобус,Остановка,ПР. МЕТАЛЛИСТОВ,ПР. МЕТАЛЛИСТОВ,"Металлистов пр., Якорная ул","132, 222","59.943703457552147,30.4200211"
922,Автобус,Остановка,ЯХТЕННАЯ УЛ,ЯХТЕННАЯ УЛ,"Камышовая ул., Яхтенная ул","166, 172","60.008807684302411,30.2254009"
923,Автобус,Остановка,Ж.-Д. ПЛАТФОРМА ЯХТЕННАЯ,Ж.-Д. ПЛАТФОРМА ЯХТЕННАЯ,"Школьная ул., Яхтенная ул","101, 134Б, 170, 93","59.991496648063574,30.2166557"
924,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИИ В.О., УГОЛ БОЛЬШОГО ПР. В.О","1-Я И КАДЕТСКАЯ ЛИНИИ В.О., УГОЛ БОЛЬШОГО ПР. В.О","1-я и Кадетская линии, Большой ВО Проспект","24, 7","59.940932408495122,30.2915783"
925,Автобус,Остановка,10-11-Я ЛИНИИ ПО НАБ. ЛЕЙТЕНАНТА ШМИДТА,10-11-Я ЛИНИИ ПО НАБ. ЛЕЙТЕНАНТА ШМИДТА,"Лейтенанта Шмидта наб., 10-11-я линии",1,"59.934951627020951,30.2800903"
926,Автобус,Остановка,10 КМ,10 КМ,Таллинское ш,"145, 145Б, 147, 165, 245, 458, 458Б, 481, 482, 482В, 484","59.774018249899456,30.1262436"
927,Автобус,Остановка,14 И 15 ЛИНИИ ПО НАБ. Л. ШМИДТА,14 И 15 ЛИНИИ ПО НАБ. Л. ШМИДТА [1]<,"Лейтенанта Шмидта наб., 14-15-я линии",1,"59.93328174256591,30.2757492"
928,Автобус,Остановка,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,МУЗЕЙ ГОРОДСКОГО НАЗЕМНОГО ТРАНСПОРТА,"Средний пр., 18-19-я линии","249, 6","59.93869487397582,30.2630787"
929,Автобус,Остановка,1-Й МУРИНСКИЙ ПР,1-Й МУРИНСКИЙ ПР. [86]<,"Большой Сампсониевский пр., 1-й Муринский пр",86,"59.988032670365044,30.3335571"
930,Автобус,Остановка,"ШУШАРСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ","ШУШАРСКАЯ ДОРОГА, ПО ТРЕБОВАНИЮ",Петербургское шоссе,"187, 232, 299","59.769548032836184,30.3455811"
931,Автобус,Остановка,21 КМ,21 КМ [485]<,,485,"59.883896639250018,30.6808891"
932,Автобус,Остановка,22-23-Я ЛИНИИ В.О,22-23-Я ЛИНИИ В.О,"Средний пр., 22-23-я линии","249, 6","59.937124404075917,30.2576046"
933,Автобус,Остановка,"25 КМ, ПО ТРЕБОВАНИЮ","25 КМ, ПО ТРЕБОВАНИЮ","Парголово Огоньки, Тенистая улица","435, 497, 84, Я=555","60.122855964010981,30.230957"
934,Автобус,Остановка,"СЕРТОЛОВО, УЛ. МОЛОДЦОВА","СЕРТОЛОВО, УЛ. МОЛОДЦОВА <","A-122, Молодцова ул","435, 497, 84, Я=555","60.139299074751143,30.2105865"
935,Автобус,Остановка,28-29-Я ЛИНИИ В.О,28-29-Я ЛИНИИ В.О,"Средний пр., 28-29-я линии","249, 6","59.934790801643999,30.2504463"
936,Автобус,Остановка,"29 КМ, ПО ТРЕБОВАНИЮ","29 КМ, ПО ТРЕБОВАНИЮ",Выборгское шоссе,"435, 497, Я=555","60.154707454620464,30.1913567"
937,Автобус,Остановка,ПОЛОЦКАЯ УЛ,ПОЛОЦКАЯ УЛ,,"179, 254, 325, 374","59.734246695328004,30.4717178"
938,Автобус,Остановка,"СЕРТОЛОВО, УЛ. МИРА","СЕРТОЛОВО, УЛ. МИРА",A-122,"435, 497, Я=555","60.164556601936745,30.1831112"
939,Автобус,Остановка,"ЧЁРНАЯ РЕЧКА, ПО ТРЕБОВАНИЮ","ЧЁРНАЯ РЕЧКА, ПО ТРЕБОВАНИЮ","15-я линия, улица Строителей","435, 497, Я=555","60.170723560801193,30.1798954"
940,Автобус,Остановка,36 КМ,36 КМ [555]<,A-122,Я=555,"60.188973013512623,30.0989666"
941,Автобус,Остановка,"39 КМ,1","39 КМ,1 [555]<","1-я линия, 5-я линия",Я=555,"60.196109719828414,30.0497589"
942,Автобус,Остановка,"39 КМ,2","39 КМ,2 [555]<",Центральная улица,Я=555,"60.196842994692375,30.037981"
943,Автобус,Остановка,"3-Й ВЕРХНИЙ ПЕР., УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ","3-Й ВЕРХНИЙ ПЕР., УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ. [113]<","3-й Верхний пер., Домостроительная ул",113,"60.06172613646531,30.3648186"
944,Автобус,Остановка,44 КМ,44 КМ,Мурманское шоссе,"469, 469А, 475, 475А","59.90867884927394,31.0444336"
945,Автобус,Остановка,"ПР. ЭНГЕЛЬСА, УГОЛ УЛ. МЕРКУРЬЕВА","ПР. ЭНГЕЛЬСА, УГОЛ УЛ. МЕРКУРЬЕВА","проспект Энгельса, 4-й Верхний переулок","113, 139, 143, 248","60.070931806088339,30.3487034"
946,Автобус,Остановка,"5 КМ, ПО ТРЕБОВАНИЮ","5 КМ, ПО ТРЕБОВАНИЮ",Колпинское шоссе,"192, 196, 254, 325, 374","59.747538964260045,30.5138187"
947,Автобус,Остановка,50 КМ,50 КМ,"Мурманское шоссе, Южная улица","469, 469А, 475, 475А","59.891613514387238,31.1604366"
948,Автобус,Остановка,51 КМ,51 КМ,Мурманское ш,"469, 469А, 475, 475А","59.89011962338931,31.1799603"
949,Автобус,Остановка,52 КМ,52 КМ,"Мурманское шоссе, улица Ленина","469, 469А, 475, 475А","59.888300137901027,31.1916122"
950,Автобус,Остановка,55 КМ,55 КМ,"Мурманское шоссе, Съездовская улица","469, 469А, 475, 475А","59.890554777470896,31.2467937"
951,Автобус,Остановка,56 КМ,56 КМ,"Песчаная улица, Мурманское шоссе","469, 469А, 475, 475А","59.891380526634244,31.2612305"
952,Автобус,Остановка,5-Й ВЕРХНИЙ ПЕРЕУЛОК,5-Й ВЕРХНИЙ ПЕРЕУЛОК [113]<,"Домостроительная ул., 5-й Верхний пер",113,"60.069418721743943,30.3715572"
953,Автобус,Остановка,"5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4","5-Й ПРЕДПОРТОВЫЙ ПРОЕЗД,4",5-й Предпортовый проезд,"3, 62","59.837729334241395,30.3110409"
954,Автобус,Остановка,УЛ. КОСТЮШКО,УЛ. КОСТЮШКО,"5-й Предпортовый проезд, Галстяна ул","3, 62","59.840975690727397,30.3110657"
955,Автобус,Остановка,САД ВАЛЕНТИНА ПИКУЛЯ,САД ВАЛЕНТИНА ПИКУЛЯ,"Измайловский пр., 11-я Красноармейская ул",70,"59.912449030010322,30.3071613"
956,Автобус,Остановка,"КОЛПИНСКОЕ ШОССЕ, УГОЛ СОФИЙСКОЙ УЛ., ПО ТРЕБОВАНИЮ","КОЛПИНСКОЕ ШОССЕ, УГОЛ СОФИЙСКОЙ УЛ., ПО ТРЕБОВАНИЮ",Колпинское шоссе,"192, 196, 324, 330, 374, 396А","59.748805274398876,30.5402527"
957,Автобус,Остановка,6-Й ВЕРХНИЙ ПЕРЕУЛОК,6-Й ВЕРХНИЙ ПЕРЕУЛОК [113]<,"6-й Верхний пер., Домостроительная ул","113, 139","60.073610204137047,30.3759308"
958,Автобус,Остановка,"СОВЕТСКИЙ ПР., 43","СОВЕТСКИЙ ПР., 43","Советский пр., ул. Славянская","115, 115А, 189, 327, 328","59.829842046214864,30.5388012"
959,Автобус,Остановка,"8-Й ВЕРХНИЙ ПЕРЕУЛОК, УГ. ПР. ЭНГЕЛЬСА","8-Й ВЕРХНИЙ ПЕРЕУЛОК, УГ. ПР. ЭНГЕЛЬСА [113]<","проспект Энгельса, 8-й Верхний переулок","113, 139, 214А, 248","60.081851899150635,30.3579006"
960,Автобус,Остановка,8-Я СОВЕТСКАЯ УЛ. УГ. НОВГОРОДСКОЙ УЛ,8-я СОВЕТСКАЯ УЛ. УГ. НОВГОРОДСКОЙ УЛ,"Новгородская ул., 8-я Советская ул","15, 19, 46, 55","59.933298852464084,30.3839054"
961,Автобус,Остановка,"ТОРФЯНАЯ ДОРОГА, СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""","ТОРФЯНАЯ ДОРОГА, СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""","Торфяная дорога, Заусадебная улица","112, 216А, 223, 93","59.990178056296465,30.2560825"
962,Автобус,Остановка,"БЕЛООСТРОВСКАЯ УЛ., Д. 10, ПО ТРЕБОВАНИЮ","БЕЛООСТРОВСКАЯ УЛ., Д. 10, ПО ТРЕБОВАНИЮ",Белоостровская ул,"137, 237, 267, 33","59.985897395006639,30.3246365"
963,Автобус,Остановка,АВАНГАРДНАЯ УЛ,АВАНГАРДНАЯ УЛ,"проспект Ветеранов, Авангардная улица","103, 130, 165, 229, 242, 284, 297, 329, 343Э, 68, 68А","59.833089171682026,30.1818352"
964,Автобус,Остановка,"АВИАЦИОННАЯ УЛ., СТ. МЕТРО ""МОСКОВСКАЯ""","АВИАЦИОННАЯ УЛ., СТ. МЕТРО ""МОСКОВСКАЯ""","Московский проспект, Авиационная улица","226, 26, 263, 281, 3, 50","59.854565084574105,30.3208828"
965,Автобус,Остановка,АВИАЦИОННАЯ УЛ,АВИАЦИОННАЯ УЛ,"Таллинское ш., Авиационная ул","145, 145Б, 147, 165, 245, 458, 458Б","59.75280003074365,30.1055622"
966,Автобус,Остановка,АВТОБУСНЫЙ ПАРК № 7,АВТОБУСНЫЙ ПАРК № 7,"5-й Предпортовый проезд, Предпортовая ул","3, 62","59.832989634484534,30.3113117"
967,Автобус,Остановка,АВТОВСКАЯ УЛ,АВТОВСКАЯ УЛ,"Краснопутиловская ул., Автовская ул","244, 72","59.870014090041636,30.2700081"
968,Автобус,Остановка,ЗАМШИНА УЛ,ЗАМШИНА УЛ,"Замшина улица, Полюстровский проспект",33,"59.967603545265746,30.394186"
969,Автобус,Остановка,АГРОФИЗИЧЕСКИЙ ИНСТИТУТ,АГРОФИЗИЧЕСКИЙ ИНСТИТУТ,"Гражданский пр., Гжатская ул","295, 40, 60, 60","59.999164618392435,30.383625"
970,Автобус,Остановка,АЛАРЧИН МОСТ,АЛАРЧИН МОСТ,"Римского-Корсакова пр., Дровяной пер",181,"59.920453679701751,30.2862854"
971,Автобус,Остановка,АЛЕКСАНДРИЯ,АЛЕКСАНДРИЯ,Санкт-Петербургское ш,"103, 162, 200, 201, 210, 278, 348, 359","59.87448456091343,29.9466782"
972,Автобус,Остановка,АЛЛЕЯ ГОМОНТОВО,АЛЛЕЯ ГОМОНТОВО,Таллинское ш,487,"59.576132245665875,29.2858601"
973,Автобус,Остановка,АННИНСКОЕ ШОССЕ,АННИНСКОЕ ШОССЕ,"Таллинское ш., Аннинское ш","145, 145Б, 145Э, 147, 165, 20, 245, 481, 482, 482В, 484, 487, 81","59.781599057212979,30.1352654"
974,Автобус,Остановка,"АНТАШИ, ПО ТРЕБОВАНИЮ","АНТАШИ, ПО ТРЕБОВАНИЮ",Таллинское шоссе,"482, 482В, 487","59.63503518969199,29.5612679"
975,Автобус,Остановка,"АПРАКСИН ПЕР., ""ТЕАТР НА САДОВОЙ""","АПРАКСИН ПЕР., ""ТЕАТР НА САДОВОЙ""","Садовая ул., Мучной пер","181, 49","59.929195646168196,30.3234081"
976,Автобус,Остановка,"Б. СМОЛЕНСКИЙ ПР., УГ. УЛ. БАБУШКИНА","Б. СМОЛЕНСКИЙ ПР., УГ. УЛ. БАБУШКИНА [116]<","Бабушкина ул., Бол. Смоленский пр","114, 116, 264, 31","59.898664047263821,30.4191227"
977,Автобус,Остановка,БАЙКОНУРСКАЯ УЛ,БАЙКОНУРСКАЯ УЛ,"Парашютная улица, Байконурская улица","112, 127, 134Б, 135, 171, 172, 208, 235, 267, 85, 9","60.016775433455486,30.2814732"
978,Автобус,Остановка,БАЛТИЙСКИЙ ВОКЗАЛ,БАЛТИЙСКИЙ ВОКЗАЛ,"набережная Обводного канала, Ново-Петергофский мост","205, 263, 65, 67, 70","59.908733641523952,30.2971478"
979,Автобус,Остановка,"ПР. КОСМОНАВТОВ, УГОЛ БАССЕЙНОЙ УЛ","ПР. КОСМОНАВТОВ, УГОЛ БАССЕЙНОЙ УЛ","проспект Космонавтов, Бассейная улица",72,"59.865162400616875,30.3472557"
980,Автобус,Остановка,"БЕГУНИЦЫ,1","БЕГУНИЦЫ,1",Таллинское ш,"487, 842","59.586818118289514,29.3275318"
981,Автобус,Остановка,"БЕГУНИЦЫ,2","БЕГУНИЦЫ,2",Таллинское ш,487,"59.584515236581709,29.3109913"
